rank,segment_id,location,road_id,km_from,km_to,lat,lon,blackspot_score,n_crashes,n_ksi,n_fatal,ksi_rate,crashes_per_year,speed_max,pct_night,pct_junction,future_ksi,future_fatal
41461,A34_run5_km4.5,A34 km 4.5-5.0 (seg 5),A34,4.5,5.0,53.31583,-2.227858,0.11353894559399244,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41462,A6108_run0_km24.0,A6108 km 24.0-24.5,A6108,24.0,24.5,54.294514,-1.818724,0.11351710548431813,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41463,M4_run1_km33.0,M4 km 33.0-33.5 (seg 1),M4,33.0,33.5,51.528043,-1.7343,0.11351390873952434,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41464,A4174_run0_km0.0,A4174 km 0.0-0.5,A4174,0.0,0.5,51.432607,-2.639482,0.11351221818858728,1,0,0,0.0,0.3333333333333333,50.0,1.0,0.0,0.0,0.0
41465,A702_run0_km2.5,A702 km 2.5-3.0,A702,2.5,3.0,55.634987,-3.505968,0.11350942382700259,1,1,0,1.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41466,A695_run0_km22.5,A695 km 22.5-23.0,A695,22.5,23.0,54.947796,-1.940872,0.11350912380305647,1,1,0,1.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41467,A1036_run0_km2.0,A1036 km 2.0-2.5,A1036,2.0,2.5,53.977721,-1.0531185,0.11350464984046933,2,0,0,0.0,0.6666666666666666,40.0,0.0,0.5,0.0,0.0
41468,A6_run9_km0.0,A6 km 0.0-0.5 (seg 9),A6,0.0,0.5,52.918035,-1.422196,0.11349951902987963,1,0,0,0.0,0.3333333333333333,50.0,0.0,0.0,0.0,0.0
41469,A478_run0_km7.5,A478 km 7.5-8.0,A478,7.5,8.0,51.725907,-4.719158,0.11349139280034033,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41470,A4054_run0_km3.5,A4054 km 3.5-4.0,A4054,3.5,4.0,51.525299,-3.238763,0.11347326125909517,1,0,0,0.0,0.3333333333333333,30.0,0.0,0.0,0.0,0.0
41471,A645_run0_km1.5,A645 km 1.5-2.0,A645,1.5,2.0,53.714609,-0.959252,0.11346867341835422,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41472,A170_run0_km1.5,A170 km 1.5-2.0,A170,1.5,2.0,54.275247,-0.435629,0.11346162927847336,1,0,0,0.0,0.3333333333333333,30.0,0.0,0.0,2.0,0.0
41473,A38_run7_km37.0,A38 km 37.0-37.5 (seg 7),A38,37.0,37.5,50.678762,-3.520171,0.11346046881635594,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41474,A77_run0_km13.5,A77 km 13.5-14.0,A77,13.5,14.0,54.927786,-4.987113,0.11343376793376303,1,1,0,1.0,0.3333333333333333,60.0,0.0,1.0,0.0,0.0
41475,M4_run2_km45.0,M4 km 45.0-45.5 (seg 2),M4,45.0,45.5,51.505463,-0.688633,0.11341902201917506,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41476,A530_run0_km23.5,A530 km 23.5-24.0,A530,23.5,24.0,53.157316,-2.469017,0.11341830212400929,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41477,A5_run4_km25.5,A5 km 25.5-26.0 (seg 4),A5,25.5,26.0,52.498158,-1.315578,0.11339273635976684,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41478,A390_run2_km10.0,A390 km 10.0-10.5 (seg 2),A390,10.0,10.5,50.4889065,-4.339004,0.11338281043767566,2,0,0,0.0,0.6666666666666666,60.0,0.5,0.0,0.0,0.0
41479,A75_run0_km61.0,A75 km 61.0-61.5,A75,61.0,61.5,54.864639,-4.227471,0.11335259383201556,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41480,A697_run0_km15.0,A697 km 15.0-15.5,A697,15.0,15.5,55.314786,-1.807653,0.11334088640305891,1,0,0,0.0,0.3333333333333333,60.0,1.0,0.0,0.0,0.0
41481,B5010_run0_km11.0,B5010 km 11.0-11.5,B5010,11.0,11.5,52.916984,-1.328306,0.11333527014762058,1,1,1,1.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41482,A380_run0_km24.5,A380 km 24.5-25.0,A380,24.5,25.0,50.463816,-3.586777,0.11332162279215034,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41483,A1_run5_km29.0,A1 km 29.0-29.5 (seg 5),A1,29.0,29.5,52.722458,-0.595745,0.11332109814387065,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41484,A494_run0_km44.5,A494 km 44.5-45.0,A494,44.5,45.0,53.010325,-3.379237,0.11331751023125879,1,0,0,0.0,0.3333333333333333,30.0,0.0,0.0,0.0,0.0
41485,M6_run0_km167.0,M6 km 167.0-167.5,M6,167.0,167.5,53.671278,-2.686572,0.1133119376277852,1,1,1,1.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41486,A358_run0_km13.0,A358 km 13.0-13.5,A358,13.0,13.5,51.074546,-3.208158,0.11330745044319378,1,0,0,0.0,0.3333333333333333,50.0,0.0,0.0,0.0,0.0
41487,A485_run0_km38.0,A485 km 38.0-38.5,A485,38.0,38.5,52.150098,-4.048812,0.11330623924772042,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41488,A478_run0_km36.5,A478 km 36.5-37.0,A478,36.5,37.0,51.961099,-4.651559,0.11330561613659208,1,1,0,1.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
